Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
AT1G01220	AT1G01220			L-fucokinase / GDP-L-fucose pyrophosphorylase
RGP1	AT3G02230	415400	417554	UDP-arabinose mutase
Peaxi162Scf01586g00008	Peaxi162Scf01586g00008			Peaxi162Scf01586g00008
RhGT1	NIL			anthocyanidin 5,3-O-glycosyltransferase
GAME17				tomatine galactoside glucosyltransferase
peroxidase 1	NIL			flavonoid peroxidase 1
SAD2	NIL			cytochrome P450 dependent &beta;-amyrin monooxygenase
CGT				flavonoid <i>C</i>-glucosyltransferase
PsaK				Photosystem I reaction center subunit psaK
FX056196				long-chain-fatty-acid--CoA ligase
(S)-THBO				(<i>S</i>)-canadine oxidase
pdk1 chloroplast	Zm00001d038163	150024486	150035717	C4 pyruvate, orthophosphate dikinase
DBNTBT	NIL			taxoid C13-side chain N-benzoyltransferase
GPAT8	AT4G00400	174070	176853	glycerol-3-phosphate O-acyltransferase
AT5G36700	AT5G36700	14438865	14441720	phosphoglycolate phosphatase
pTAD4	NIL			acyl-ACP &Delta;6 desaturase
GSTU26	AT1G17190	5875343	5876538	glutathione transferase
SKT1	NIL			potassium channel
AT5G58240	AT5G58240	23575340	23576579	adenylylsulfate sulfohydrolase
	NIL			geraniol acetyl CoA acetyltransferase
PKS5	NIL			type III polyketide synthase
SUS1	AT5G20830	7050228	7055197	sucrose synthase
AtNSP4	AT3G16410			nitrile-specifier protein
Zm00001d017077	Zm00001d017077	184494219	184496209	flavonoid 3'-hydroxylase
DOX2	AT1G73680	27707605	27711175	fatty acid &alpha;-dioxygenase
UGT73B6	NIL			tyrosol UDP glucosyltransferase
GS50	NIL			endo apyrase
UGE5	AT4G10960	6713553	6718546	UDP-glucose 4-epimerase subunit
URH1	AT2G36310	15231576	15233951	uridine nucleosidase
WS	NIL			wax synthase
LjCHI3	NIL			chalcone isomerase
RCCR	AT4G37000	17442606	17443849	red chlorophyll catabolite reductase
AT3G24030	AT3G24030			hydroxyethylthiazole kinase
CYP75B1	AT5G07990	2560395	2563110	flavonoid 3'-monooxygenase
Glyma.06G119400	Glyma.06G119400			Glyma.06G119400
RcOMT2	NIL			3,5-dimethoxyphenol O-methyltransferase [multifunctional]
AT2G47690	AT2G47690	19558333	19559425	NADH-ubiquinone oxidoreductase 15 kDa subunit
MT2	NIL			(S)-scoulerine 9-O-methyltransferase [multifunctional]
OsTPS3	NIL			(E)-beta-caryophyllene/beta-elemene synthase
GcpE	AT5G60600	24376195	24380711	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
ABA4	AT1G67080			neoxanthin synthase non-catalytic putative component
AT5G05980	AT5G05980	1799491	1804493	folylpolyglutamate synthase
AT3G45070	AT3G45070	16497268	16498334	sulfotransferase
PDSTS1	NIL			subunit PDSTS1
CmXRS1	NIL			7-methylxanthosine synthase
GAE1	AT4G30440	14881861	14883486	UDP-glucuronate 4-epimerase
PPD	NIL			PPD
AT1G07420	AT1G07420	2277804	2280294	4-&alpha;-methyl-&delta;7-sterol-4&alpha;-methyl oxidase
AT5G43600	AT5G43600			ureidoglycolate amidohydrolase
Lj4g0008143	Lj4g0008143			Lj4g0008143.1
ASAT3-P				sucrose acyltransferase
FAH1	AT4G36220	17137347	17139638	ferulate 5-hydroxylase
HB1	Os03g0233900			non-symbiotic hemoglobin 1
Glyma.17G019600	Glyma.17G019600			Glyma.17G019600
PsbB	ATCG00680	72371	73897	CP47
OMT1	AT5G54160	21999222	22001589	flavonol 3'-<i>O</i>-methyltransferase//caffeate O-methyltransferase
AT1G04220	AT1G04220	1119698	1122525	fatty acid elongase
PLD alpha	AT3G15730	5330329	5333752	PLD alpha
GALK	NIL			galactokinase
GI:289466125	NIL			(-)-limonene-7-hydroxylase
LHCA4		1063439	1066861	168073
TGG5	AT1G51470	19091081	19094082	hydrolase, hydrolyzing O-glycosyl compounds
KSL6	NIL			<i>ent</i>-isokaurene synthase
LOX2	AT3G45140	16536395	16540337	lipoxygenase
DOX1	AT3G01420			fatty acid &alpha;-dioxygenase
CHS	NIL			6-isobutyl-4-hydroxy-2-pyrone synthase [multifunctional]
CoOMT	NIL			columbamine O-methyltransferase
Lj1g0007448	Lj1g0007448			Lj1g0007448.1
ABA8'OH-1	NIL			abscisic acid 8'-hydroxylase
AT4G14440	AT4G14440	8306741	8307749	delta3, delta2-enoyl-CoA isomerase
SAT5	AT5G56760	22978535	22979886	serine O-acetyltransferase
PAH				phenylalanine hydroxylase
OKS	NIL			octaketide synthase
GME	AT5G28840	10862177	10864907	GDP-D-mannose-3,5-epimerase
PsbA	ATCG00020	383	1444	D1
AT4G27070	AT4G27070	13586500	13588827	tryptophan synthase
AL21	NIL			(11Z,14Z,17Z)-icosa-11,14,17-trienoyl-CoA Delta5 desaturase [multifunctional]
JF799117	NIL			4-coumaroyl 2'-hydroxylase
AtNIC1	AT2G22570	9596515	9597959	nicotinamidase
PsaO				Photosystem I subunit O
SD1	NIL			gibberellin 20-oxidase
BBE1				reticuline oxidase
PKSB	AT4G34850			tetraketide alpha-pyrone synthase [multifunctional]
QH1	NIL			linalool synthase
AT5G03455	AT5G03455	862558	864107	arsenate reductase
KAT1	NIL			3-ketoacyl-CoA thiolase
Lj5g0004759	Lj5g0004759			Lj5g0004759.1
Zm00001d053675	Zm00001d053675	238805319	238809230	Zm00001d053675_T003.1
oxidase	NIL			oxidase
HCBT3	NIL			anthranilate N-benzoyltransferase
CYP79D3	NIL			valine N-monooxygenase [multifunctional]
KCR1	AT1G67730	25395123	25397273	very-long-chain 3-oxoacyl-CoA reductase
TPS1	NIL			ent-kaurene synthase [multifunctional]
AT5G27600	AT5G27600	9742579	9747008	long-chain-fatty-acid-CoA ligase
MFS	NIL			(+)-menthofuran synthase
AT3G17810	AT3G17810	6094104	6096572	dihydropyrimidine dehydrogenase
vp15				molybdopterin synthase small subunit
Glyma.12G014200	Glyma.12G014200			Glyma.12G014200
ARD1	NIL			acireductone dioxygenase subunit
Lj5g0022632	Lj5g0022632			Lj5g0022632.1
Zm00001d041829	Zm00001d041829	139490055	139496394	4-amino-2-methyl-5-hydroxymethylpyridine phosphate kinase
IPK2&alpha;	AT5G07370	2330386	2332282	polyphosphate 3-kinase / polyphosphate 5-kinase / polyphosphate 6-kinase
FAD6B		1177345	1181450	174831
GA2ox1	NIL			gibberellin 2-oxidase
Zm00001d044096	Zm00001d044096	219038137	219043860	carbonate dehydratase
SAT1	AT1G55920	20915781	20917112	serine O-acetyltransferase
AMT2.2	NIL			ammonium transporter
Dhurrinase 2				dhurrinase2 beta-glucosidase
AT5G52840	AT5G52840	21430872	21432232	NADH-ubiquinone oxidoreductase B 13 subunit
AT2G01350	AT2G01350	165140	167258	nicotinate-nucleotide diphosphorylase (carboxylating)
LPP2	AT1G15080			lipid phosphatidate phosphatase
ATGSTF1				glutathione transferase
AT4G34260	AT4G34260			1,2-alpha-L-fucosidase
Glyma.08G125600	Glyma.08G125600			Glyma.08G125600
AT1G23360	AT1G23360	8295174	8296912	2-phytyl-1,4-naphthoquinone methyltransferase
DPMS2	AT1G74340			dolichol phosphate mannose synthase subunit 2
IPMS2	AT1G74040	27845832	27849437	IPMS2 subunit
Glyma.02G226000	Glyma.02G226000			Glyma.02G226000
AT4G36890	AT4G36890	17379173	17381777	transferase, transferring glycosyl groups
AB061863	NIL			coclaurine N-methyltransferase
PdUGT94AF3				PdUGT94AF3
Mg25	NIL			beta-cubebene synthase
AmAS1	NIL			aureusidin synthase
PAH2	AT5G42870			3-sn-phosphatidate phosphohydrolase
Chl G	NIL			chlorophyll synthetase
PAL1	AT2G37040	15575726	15578361	phenylalanine ammonia lyase
AT2G44350	AT2G44350	18323354	18327865	citrate synthase (mitochondrial)
ThiC	AT2G29630			HMP-P synthase
8,7 SI	101259646			sterol 8,7 isomerase
AtSirB	AT1G50170	18585692	18587392	sirohydrochlorin ferrochelatase
nad5		3320	4960	ChrepMp03
SDH_Fi321	NIL			SDH subunit
SALR	NIL			salutaridine oxidoreductase
Glyma.07G183200	Glyma.07G183200			Glyma.07G183200
DPMS3	AT1G48140			dolichol phosphate mannose synthase subunit 3
ACS2				1-aminocyclopropane-1-carboxylate synthase
Glyma.03G187200	Glyma.03G187200			Glyma.03G187200
UGT89C1	AT1G06000			flavonol 7-<i>O</i>-rhamnosyltransferase
PEN2	AT2G44490	18371832	18374801	myrosinase
UGT84B2	AT2G23250	9904889	9906205	abscisic acid glucosyltransferase
AGL97				&alpha;-glucosidase
CYP703A2	AT1G01280			oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, NADH or NADPH as one donor, and incorporation of one atom of oxygen
AtNSP2	AT2G33070			nitrile-specifier protein
LHCBM9		666428	668596	Chlorophyll a-b binding protein of LHCII
AT3G58750	AT3G58750	21735291	21738667	citrate synthase
Soltu.DM.10G003660	Soltu.DM.10G003660			Soltu.DM.10G003660.1
OMT				catechol <i>O</i>-methyltransferase
TMT2	NIL			thiocyanate methyltransferase
AtPLC1	AT5G58670			AtPLC1
TPS10	NIL			sesquiterpene synthase
tdc1	NIL			tryptophan decarboxylase
COXVIa	AT4G37830	17787473	17788828	complex IV subunit 6a
PCS1	NIL			glutathione gamma-glutamylcysteinyltransferase / homophytochelatin synthase
Seita.1G108500	Seita.1G108500			Seita.1G108500.1.p
CYP75B3	Os10g0320100			flavonoid 3'-monooxygenase
AT1G25450	AT1G25450	8938466	8940374	fatty acid elongase
KSB	NIL			<i>ent</i>-kaurene synthase B
G3OMT				(<i>S</i>)-scoulerine 9-<em>O</em>-methyltransferase
AT5G04950	AT5G04950	1457646	1458891	nicotianamine synthase
cDOPA5GT	NIL			UDPG:cyclo-DOPA 5-O-glucosyltransferase
Soltu.DM.07G021450	Soltu.DM.07G021450			Soltu.DM.07G021450.1
STA6	Cre03.g188250			ADP-glucose pyrophosphorylase small subunit
IGMT5	AT1G76790	28827080	28828567	O-methyltransferase
UROD	NIL			uroporphyrinogen decarboxylase
RLG1	AT1G07910	2445467	2454642	2',3'-cyclic-nucleotide 3'-phosphodiesterase
OMT1	Phex13114			5'-demethyl-yatein <i>O</i>-methyltransferase
GRMZM2G116087_P01		173111772	173115627	GRMZM2G116087_P01
ACX1	AT4G16760	9424655	9428875	acyl-CoA oxidase
HGPT	AT1G71750	26991438	26992822	hypoxanthine-guanine phosphoribosyltransferase
SPDS1	AT1G23820	8420254	8422974	spermidine synthase
AT3G10620	AT3G10620	3320268	3321729	bis(5'-adenosyl)-pentaphosphatase
AT1G61680	AT1G61680	22776120	22778352	S-linalool synthase
LOX3	AT1G17420	5977404	5981473	lipoxygenase
Glyma.12G014300	Glyma.12G014300			Glyma.12G014300
NPQ1	AT1G08550	2706927	2709534	violaxanthin de-epoxidase
TPS02	NIL			(E,E)-alpha-farnesene synthase / (E)-beta-ocimene synthase
AT3G54640	AT3G54640	20234126	20236501	tryptophan synthase
AT3G03520	AT3G03520	837884	840631	hydrolase, acting on ester bonds
GA2ox7	AT1G50960	18893217	18895387	C-20 gibberellin 2-oxidase
PME1.9	NIL			pectinesterase
MADC2	NIL			arginine decarboxylase
AtCoaA	AT1G60440	22270171	22272908	pantothenate kinase 1
HCT	NIL			hydroxycinnamoyl-CoA: shikimate/quinate hydroxycinnamoyltransferase
Glyma.U031524	Glyma.U031524			Glyma.U031524
CHS2	NIL			6-isobutyl-4-hydroxy-2-pyrone synthase / chalcone synthase
PAH1	AT3G09560			3-sn-phosphatidate phosphohydrolase
AT2G39030	AT2G39030	16305305	16306280	N-acetyltransferase
OKS	NIL			octaketide synthase
SSII	AT3G01180	62252	65852	soluble starch synthase II
GGPPS	NIL			prenyltransferase subunit
g-cam	NIL			camphene synthase
Pavir.1KG382400	Pavir.1KG382400			Pavir.1KG382400.1.p
HMM6	NIL			6a-hydroxymaackiain-3-O-methyltransferase
CRTZ				&beta;-carotene hydroxylase
Cyc2	NIL			ent-copalyl diphosphate synthase
QRT3	AT4G20050	10849792	10853356	polygalacturonase
LHCA3		88585	91358	153678
ADCL	AT5G57850	23452517	23454553	aminodeoxychorismate lyase
Lj5g0002064	Lj5g0002064			Lj5g0002064.1
IBR10	AT4G14430	8304596	8305701	delta3, delta2-enoyl-CoA isomerase
AT3G21180	AT3G21180	7425525	7432206	calcium-transporting ATPase
PAR	NIL			phenylacetaldehyde reductase
cox1		5042	6559	ChrepMp04
G4	AT3G51820	19226980	19230034	chlorophyll synthetase
AT3G06510	AT3G06510	2016443	2019680	hydrolase, hydrolyzing O-glycosyl compounds
AT1G15700	AT1G15700			ATP synthase gamma chain 2
TPS-Iso	NIL			abietadiene synthase
CYP90C1	AT4G36380	17187531	17192320	steroid hydroxylase
AT4G30530	AT4G30530			phenylacetohydroximoyl-glutathione gamma-glutamyl peptidase
AT5G18170	AT5G18170	6006041	6008474	glutamate dehydrogenase [NAD(P)+]
Peaxi162Scf00047g01123	Peaxi162Scf00047g01123			Peaxi162Scf00047g01123
FaGT6	NIL			flavonol 3-O-glucosyltransferase
AT5G14930	AT5G14930	4828643	4830958	triacylglycerol lipase//carboxylesterase
&Delta;4FAD				Delta4 desaturase
UGT74M1	NIL			triterpene sapogenin carboxylic acid glucosyltransferase
UGT73K1	NIL			triterpene sapogenin UDP-glucosyltransferase
CesA1	AT4G32410	15640626	15646671	UDP-glucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase
ODC	NIL			ornithine decarboxylase
PsbY	AT1G67740	25397731	25398817	PSII-Y2 subunit // PSII-Y1 subunit
Glyma.02G231000	Glyma.02G231000			Glyma.02G231000
AT2G19070	AT2G19070	8267120	8269067	spermidine hydroxycinnamoyl transferase
FaGT2	NIL			UDP-Glc:cinnamate glucosyltransferase
ASA6	Cre02.g079800.t1.2	960214	961813	186501
GME	NIL			GDP-D-mannose 3'',5''-epimerase [multifunctional]
P5CS1	AT2G39800	16605242	16610397	glutamate-5-semialdehyde dehydrogenase [multifunctional]
SPE1	NIL			arginine decarboxylase
AT5G36880	AT5G36880	14551843	14557529	acetate-CoA ligase
CDS2	AT4G22340	11799971	11803457	phosphatidate cytidylyltransferase
AlaAT-2	NIL			alanine transaminase
TPS6	NIL			(S)-beta-macrocarpene synthase
HISN5A	AT3G22425	7951062	7953230	imidazoleglycerol-phosphate dehydratase
AT4G13250	AT4G13250	7684231	7686872	chlorophyll b reductase
<i>AtFUT1</i>	NIL			xyloglucan &alpha;-1,2-fucosyltransferase
AT2G20690	AT2G20690			riboflavin synthase subunit
AT5G11880	AT5G11880	3827527	3829987	diaminopimelate decarboxylase
CVOMT1	NIL			CVOMT1 subunit
LYC	AT3G10230	3164080	3166043	lycopene beta cyclase
HCBT2	NIL			anthranilate N-benzoyltransferase
AT2G22250	AT2G22250	9464890	9467999	prephenate aminotransferase
TPPB	AT1G78090	29378784	29381397	trehalose-phosphatase
TPS1	AT1G78580	29557233	29565805	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
Soltu.DM.10G006260	Soltu.DM.10G006260			Soltu.DM.10G006260.1
AMY1	NIL			AMY1
Lj4g0020319	Lj4g0020319			Lj4g0020319.1
ASA5	Cre17.g721300.t1.2	231429	232288	184815
Lj6g0027368	Lj6g0027368			Lj6g0027368.1
UGT89B1	AT1G73880	27788642	27790465	UDP-glycosyltransferase
tdc2	NIL			tryptophan decarboxylase
CYP79D4	NIL			isoleucine N-monooxygenase [multifunctional]
SMT	NIL			selenocysteine methyltransferase
CHIT1	NIL			endochitinase
Lj1g0025329	Lj1g0025329			Lj1g0025329.1
AT1G54870	AT1G54870	20462673	20464314	oxidoreductase
AXS1	AT2G27860	11871470	11873984	UDP-glucuronate decarboxylase
TYDC2	NIL			tyrosine decarboxylase / dopa decarboxylase
AOP2				glucosinolate 2-oxoglutarate-dependent dioxygenase
Lj1g0007161	Lj1g0007161			Lj1g0007161.1
fad7	AT3G11170			omega-3 fatty acid desaturase
AT2G42790	AT2G42790	17808552	17813126	citrate synthase
Glyma.10G107900	Glyma.10G107900			Glyma.10G107900
CYP77A6	AT3G10570			fatty acid in-chain hydroxylase
UGT73B5	AT2G15480	6765763	6767715	UDP-glucosyltransferase
RHM1	AT1G78570	29554542	29557331	UDP-4-dehydro-6-deoxy-alpha-D-glucose 3,5-epimerase [multifunctional]
PPD6	AT3G56650			PsbP domain-containing protein 6
AT2G21890	AT2G21890	9338169	9339726	oxidoreductase
PSOMT2	NIL			norcoclaurine 6-O-methyltransferase
IRT1	NIL	1247765	1249104	196755
AT4G09320	AT4G09320	5923397	5924529	nucleoside-diphosphate kinase 1 monomer
GA3ox2-1	NIL			GA37 C13-oxidase [multifunctional]
AT4G23100	AT4G23100	12103172	12107310	glutamate-cysteine ligase
BADH	NIL			bixin aldehyde dehydrogenase
CYP76M8	NIL			cytochrome P450 dependent <i>ent</i>-sandaracopimardiene 7&beta;-hydroxylase
cko1	Zm00001d039520	6768568	6770834	cytokinin dehydrogenase
PSS1	NIL			subunit PSS1
FUT13	AT1G71990			3-galactosyl-<em>N</em>-acetylglucosaminide 4-&alpha;-<small>L</small>-fucosyltransferase FUT13
CYP79E2	NIL			tyrosine N-monooxygenase
RFS	NIL			raffinose synthase / galactosyltransferase
HDH	NIL			histidinol dehydrogenase
EAS37	NIL			5-epi-aristolochene synthase
AT4G29210	AT4G29210	14400926	14403525	glutathione gamma-glutamylcysteinyltransferase
psbX	AT2G28800			Inner membrane protein ALBINO3
T5&alpha;-H	NIL			taxadiene 5&alpha;-hydroxylase
AT1G17650	AT1G17650	6069470	6072005	phosphogluconate dehydrogenase (decarboxylating)
UGlyAH	AT4G17050			ureidoglycine aminohydrolase
GLIP2	AT1G53940	20146947	20149448	carboxylic ester hydrolase
ARGAH2	AT4G08870	5646436	5648724	agmatinase / arginase
AT4G18010	AT4G18010	9991033	9994432	inositol-polyphosphate 5-phosphatase
OsHAK7	NIL			potassium transporter
GGH	NIL			&gamma;-glutamyl hydrolase
ICS1	AT1G74710	28073956	28077809	isochorismate synthase
AT4G37930	AT4G37930	17831725	17834921	serine hydroxymethyltransferase
